Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,207.476,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 29:  PFEtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,17.6,,,6067.013,,,,,,,
2,JR_080218_07,50,Standard,44,7.15,85.125,6836.143,,0.012,bb,20.1,-54.3,45.7,8.922
3,JR_080218_08,100,Standard,88,,,6867.104,,,,,,,
4,JR_080218_09,250,Standard,220,,,6198.279,,,,,,,
5,JR_080218_10,500,Standard,440,,,5542.479,,,,,,,
6,JR_080218_11,be,Recovery,440,8.27,66.061,6438.806,,0.01,bb,19.5,-95.6,4.4,4.302
7,JR_080218_12,2000,Standard,1760,,,5339.574,,,,,,,
8,JR_080218_13,10000,Standard,8800,,,4363.829,,,,,,,
9,JR_080218_62,NG pblnk,,,8.94,23.01,3132.14,,0.007,bb,18.6,,,2.495
10,JR_080218_63,NG tris n=1,,,9.13,33.1,2487.342,,0.013,bb,20.4,,,4.611
11,JR_080218_64,NG tris n=2,,,7.94,12.874,2515.56,,0.005,bb,18,,,4.24
12,JR_080218_65,NG tris n=3,,,8.07,10.784,598.047,,0.018,bb,21.7,,,1.617
13,JR_080218_66,NG tris n=4,,,,,12.164,,,,,,,
14,JR_080218_67,NG EDTA,,,,,2381.444,,,,,,,
15,JR_080218_68,NG PBS,,,,,2308.757,,,,,,,
16,JR_080218_69,NG ???,,,,,2653.395,,,,,,,
17,JR_080218_70,sblnk,,,7.63,10.809,,,,bb,,,,9.127
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,7.42,33.106,,,,bb,,,,6.581
21,JR_080218_78,20,Standard,17.6,,,,,,,,,,
22,JR_080218_79,20,Standard,17.6,,,,,,,,,,
23,JR_080218_80,50,Standard,44,,,,,,,,,,
24,JR_080218_81,100,Standard,88,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 30:  PFPrS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,17.6,,,6067.013,,,,,,,
2,JR_080218_07,50,Standard,44,,,6836.143,,,,,,,
3,JR_080218_08,100,Standard,88,,,6867.104,,,,,,,
4,JR_080218_09,250,Standard,220,,,6198.279,,,,,,,
5,JR_080218_10,500,Standard,440,6.53,4915.696,5542.479,,0.887,bb,558.7,27,127,0
6,JR_080218_11,be,Recovery,440,,,6438.806,,,,,,,
7,JR_080218_12,2000,Standard,1760,6.56,16561.582,5339.574,,3.102,bb,1878.1,6.7,106.7,12595.316
8,JR_080218_13,10000,Standard,8800,6.55,62604.566,4363.829,,14.346,bb,8576.9,-2.5,97.5,8331.462
9,JR_080218_62,NG pblnk,,,,,3132.14,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,2487.342,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,2515.56,,,,,,,
12,JR_080218_65,NG tris n=3,,,8.91,10.003,598.047,,0.017,bb,40.3,,,6.515
13,JR_080218_66,NG tris n=4,,,,,12.164,,,,,,,
14,JR_080218_67,NG EDTA,,,,,2381.444,,,,,,,
15,JR_080218_68,NG PBS,,,,,2308.757,,,,,,,
16,JR_080218_69,NG ???,,,8.41,14.957,2653.395,,0.006,bb,33.7,,,3.532
17,JR_080218_70,sblnk,,,6.94,60.878,,,,bb,,,,4.713
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,17.6,,,,,,,,,,
22,JR_080218_79,20,Standard,17.6,,,,,,,,,,
23,JR_080218_80,50,Standard,44,8.49,28.096,,,,bb,,,,4.245
24,JR_080218_81,100,Standard,88,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 31:  PFBS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,17.6,7.91,446.334,6067.013,,0.074,bb,37.9,115.1,215.1,173.725
2,JR_080218_07,50,Standard,44,7.92,49.793,6836.143,,0.007,bb,18.6,-57.7,42.3,137.124
3,JR_080218_08,100,Standard,88,7.96,2295.576,6867.104,,0.334,bb,113.5,29,129,4781.287
4,JR_080218_09,250,Standard,220,7.94,5483.557,6198.279,,0.885,bb,273.3,24.2,124.2,914.182
5,JR_080218_10,500,Standard,440,7.97,10841.3,5542.479,,1.956,bb,584.3,32.8,132.8,745.675
6,JR_080218_11,be,Recovery,440,8.33,3093.62,6438.806,,0.48,bb,156,-64.6,35.4,4209.736
7,JR_080218_12,2000,Standard,1760,8.01,37791.668,5339.574,,7.078,bb,2070.9,17.7,117.7,138587.769
8,JR_080218_13,10000,Standard,8800,8.01,125620.883,4363.829,,28.787,bb,8372.3,-4.9,95.1,163961.218
9,JR_080218_62,NG pblnk,,,8.04,90.205,3132.14,,0.029,bb,24.9,,,39.118
10,JR_080218_63,NG tris n=1,,,8.02,252.01,2487.342,,0.101,bb,45.9,,,262.414
11,JR_080218_64,NG tris n=2,,,8.04,232.724,2515.56,,0.093,bb,43.4,,,366.26
12,JR_080218_65,NG tris n=3,,,,,598.047,,,,,,,
13,JR_080218_66,NG tris n=4,,,8.04,12.722,12.164,,1.046,bb,320.1,,,8.364
14,JR_080218_67,NG EDTA,,,8.01,29.377,2381.444,,0.012,bb,20.1,,,4.711
15,JR_080218_68,NG PBS,,,,,2308.757,,,,,,,
16,JR_080218_69,NG ???,,,8.01,22.189,2653.395,,0.008,bb,18.9,,,2.707
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,7.65,999.086,,,,bb,,,,860.939
19,JR_080218_72,100,,,7.66,1441.097,,,,bb,,,,1467.654
20,JR_080218_77,sblnk,,,7.68,45.881,,,,bb,,,,47.533
21,JR_080218_78,20,Standard,17.6,7.66,353.567,,,,bb,,,,59.844
22,JR_080218_79,20,Standard,17.6,7.65,254.259,,,,bb,,,,217.648
23,JR_080218_80,50,Standard,44,7.68,774.054,,,,bb,,,,566.292
24,JR_080218_81,100,Standard,88,7.65,1179.257,,,,bb,,,,586.82
,,,,,,,,,,,,,,
Compound 32:  PFPeS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,9.38,188.321,,,,bb,,,,79.004
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,9.41,1476.844,,,,bb,,,,967.201
4,JR_080218_09,250,Standard,250,9.38,3313.546,,,,bb,,,,545.421
5,JR_080218_10,500,Standard,500,9.38,6308.884,,,,bb,,,,0
6,JR_080218_11,be,Recovery,500,9.69,217.642,3518.348,,0.062,bbI,,-100,0,109.583
7,JR_080218_12,2000,Standard,2000,9.45,25762.656,,,,bb,,,,10920.719
8,JR_080218_13,10000,Standard,10000,9.45,85569.75,,,,bb,,,,15663.803
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,9.45,15.967,,,,bb,,,,7.995
12,JR_080218_65,NG tris n=3,,,9.97,14.752,228.514,,0.065,bbI,,,,3.389
13,JR_080218_66,NG tris n=4,,,9.49,16.123,,,,bb,,,,3.53
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,,,,,,,,
22,JR_080218_79,20,Standard,20,,,,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 33:  PFHxS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,18.2,,,,,,,,,,
2,JR_080218_07,50,Standard,45.5,,,,,,,,,,
3,JR_080218_08,100,Standard,91,,,,,,,,,,
4,JR_080218_09,250,Standard,227.5,,,,,,,,,,
5,JR_080218_10,500,Standard,455,,,,,,,,,,
6,JR_080218_11,be,Recovery,455,11.39,5220.942,3518.348,,1.484,bb,,,,2195.406
7,JR_080218_12,2000,Standard,1820,,,,,,,,,,
8,JR_080218_13,10000,Standard,9100,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,228.514,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,11.64,11.702,,,,bb,,,,0.474
19,JR_080218_72,100,,,,,,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,18.2,,,,,,,,,,
22,JR_080218_79,20,Standard,18.2,,,,,,,,,,
23,JR_080218_80,50,Standard,45.5,,,,,,,,,,
24,JR_080218_81,100,Standard,91,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 34:  PFHpS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,13.28,163.504,2174.954,,0.075,MM,19.1,-4.3,95.7,96.212
2,JR_080218_07,50,Standard,50,,,2830.915,,,,,,,
3,JR_080218_08,100,Standard,100,13.3,957.355,2778.807,,0.345,bb,90.2,-9.8,90.2,780.047
4,JR_080218_09,250,Standard,250,13.2,2458.014,2565.135,,0.958,MM,252.2,0.9,100.9,97.574
5,JR_080218_10,500,Standard,500,13.3,5354.045,2411.707,,2.22,bb,585.3,17.1,117.1,684.243
6,JR_080218_11,be,Recovery,500,13.28,82.484,2968.547,,0.028,MM,6.6,-98.7,1.3,53.171
7,JR_080218_12,2000,Standard,2000,13.33,16462.713,2259.007,,7.288,bb,1923.1,-3.8,96.2,2027.281
8,JR_080218_13,10000,Standard,10000,,,2179.346,,,,,,,
9,JR_080218_62,NG pblnk,,,,,777.93,,,,,,,
10,JR_080218_63,NG tris n=1,,,13.76,81.299,486.109,,0.167,bb,43.4,,,6.724
11,JR_080218_64,NG tris n=2,,,13.68,29.011,448.594,,0.065,bb,16.4,,,19.126
12,JR_080218_65,NG tris n=3,,,,,73.379,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,80.672,,,,,,,
14,JR_080218_67,NG EDTA,,,14.01,21.788,504.257,,0.043,bb,10.7,,,8.001
15,JR_080218_68,NG PBS,,,13.61,51.523,512.027,,0.101,bb,25.8,,,3.142
16,JR_080218_69,NG ???,,,13.71,74.06,618.225,,0.12,bb,30.9,,,3.167
17,JR_080218_70,sblnk,,,,,2152.803,,,,,,,
18,JR_080218_71,50,,,,,2587.791,,,,,,,
19,JR_080218_72,100,,,,,2021.99,,,,,,,
20,JR_080218_77,sblnk,,,,,2263.947,,,,,,,
21,JR_080218_78,20,Standard,20,,,2067.325,,,,,,,
22,JR_080218_79,20,Standard,20,,,2026.879,,,,,,,
23,JR_080218_80,50,Standard,50,,,2246.787,,,,,,,
24,JR_080218_81,100,Standard,100,,,1951.328,,,,,,,
,,,,,,,,,,,,,,
Compound 35:  PFOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,18.56,15.47,242.95,2174.954,,0.112,bb,14.8,-20.5,79.5,4.825
2,JR_080218_07,50,Standard,46.4,15.42,44.716,2830.915,,0.016,bbI,,-100,0,14.425
3,JR_080218_08,100,Standard,92.8,15.47,1075.814,2778.807,,0.387,bb,76.8,-17.2,82.8,448.906
4,JR_080218_09,250,Standard,232,15.37,2632.436,2565.135,,1.026,bb,220.8,-4.8,95.2,390.462
5,JR_080218_10,500,Standard,464,15.56,5942.529,2411.707,,2.464,bb,544.7,17.4,117.4,89.128
6,JR_080218_11,be,Recovery,464,15.47,3434.14,2968.547,,1.157,bb,250.2,-46.1,53.9,1881.754
7,JR_080218_12,2000,Standard,1856,15.5,20135.758,2259.007,,8.914,bb,1997.7,7.6,107.6,1294.808
8,JR_080218_13,10000,Standard,9280,15.47,87906.773,2179.346,,40.336,bb,9076.6,-2.2,97.8,4850.215
9,JR_080218_62,NG pblnk,,,15.4,18.152,777.93,,0.023,bbI,,,,3.259
10,JR_080218_63,NG tris n=1,,,,,486.109,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,448.594,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,73.379,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,80.672,,,,,,,
14,JR_080218_67,NG EDTA,,,,,504.257,,,,,,,
15,JR_080218_68,NG PBS,,,,,512.027,,,,,,,
16,JR_080218_69,NG ???,,,,,618.225,,,,,,,
17,JR_080218_70,sblnk,,,14.99,104.503,2152.803,,0.049,bb,0.5,,,13.137
18,JR_080218_71,50,,,15.22,418.348,2587.791,,0.162,MM,26,,,77.249
19,JR_080218_72,100,,,15.3,1263.078,2021.99,,0.625,bb,130.3,,,155.45
20,JR_080218_77,sblnk,,,15.32,23.072,2263.947,,0.01,bbI,,,,149.042
21,JR_080218_78,20,Standard,18.56,15.27,336.213,2067.325,,0.163,bb,26.2,41.3,141.3,45.577
22,JR_080218_79,20,Standard,18.56,15.27,302.079,2026.879,,0.149,bb,23.2,24.8,124.8,5.269
23,JR_080218_80,50,Standard,46.4,15.35,669.827,2246.787,,0.298,bb,56.8,22.3,122.3,54.445
24,JR_080218_81,100,Standard,92.8,15.53,1263.179,1951.328,,0.647,bb,135.4,45.9,145.9,101.786
,,,,,,,,,,,,,,
Compound 36:  PFNS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,17.62,226.586,2174.954,,0.104,MM,10.7,-46.7,53.3,93.242
2,JR_080218_07,50,Standard,50,,,2830.915,,,,,,,
3,JR_080218_08,100,Standard,100,17.64,1474.308,2778.807,,0.531,MM,125.7,25.7,125.7,15.551
4,JR_080218_09,250,Standard,250,17.59,3680.869,2565.135,,1.435,MM,369.6,47.8,147.8,217.219
5,JR_080218_10,500,Standard,500,17.91,8179.917,2411.707,,3.392,bb,897.4,79.5,179.5,0
6,JR_080218_11,be,Recovery,500,17.7,157.118,2968.547,,0.053,MMI,,-100,0,21.629
7,JR_080218_12,2000,Standard,2000,17.67,25411.432,2259.007,,11.249,MM,3016.5,50.8,150.8,327.81
8,JR_080218_13,10000,Standard,10000,17.64,68665.5,2179.346,,31.507,bb,8480.4,-15.2,84.8,2716.618
9,JR_080218_62,NG pblnk,,,,,777.93,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,486.109,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,448.594,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,73.379,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,80.672,,,,,,,
14,JR_080218_67,NG EDTA,,,,,504.257,,,,,,,
15,JR_080218_68,NG PBS,,,,,512.027,,,,,,,
16,JR_080218_69,NG ???,,,,,618.225,,,,,,,
17,JR_080218_70,sblnk,,,,,2152.803,,,,,,,
18,JR_080218_71,50,,,17.45,741.95,2587.791,,0.287,MM,59.9,,,2508.721
19,JR_080218_72,100,,,17.48,959.475,2021.99,,0.475,MM,110.5,,,32.693
20,JR_080218_77,sblnk,,,,,2263.947,,,,,,,
21,JR_080218_78,20,Standard,20,17.45,202.675,2067.325,,0.098,MM,9,-55,45,4.31
22,JR_080218_79,20,Standard,20,17.53,221.509,2026.879,,0.109,MM,12,-39.8,60.2,61.346
23,JR_080218_80,50,Standard,50,17.53,262.801,2246.787,,0.117,bb,14.1,-71.8,28.2,93.893
24,JR_080218_81,100,Standard,100,17.7,1027.692,1951.328,,0.527,MM,124.6,24.6,124.6,9.048
,,,,,,,,,,,,,,
Compound 37:  PFDS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.26,19.76,198.426,2174.954,,0.091,bb,15.6,-19.2,80.8,137.17
2,JR_080218_07,50,Standard,48.15,,,2830.915,,,,,,,
3,JR_080218_08,100,Standard,96.3,19.76,1512.906,2778.807,,0.544,bb,103.6,7.5,107.5,684.259
4,JR_080218_09,250,Standard,240.75,19.7,3472.97,2565.135,,1.354,bb,260.7,8.3,108.3,0
5,JR_080218_10,500,Standard,481.5,19.91,8329.099,2411.707,,3.454,bb,668.5,38.8,138.8,0
6,JR_080218_11,be,Recovery,481.5,19.76,795.273,2968.547,,0.268,bb,49.9,-89.6,10.4,0
7,JR_080218_12,2000,Standard,1926,19.76,26679.205,2259.007,,11.81,bb,2291.1,19,119,1269.205
8,JR_080218_13,10000,Standard,9630,19.76,101797.531,2179.346,,46.71,bb,9067.8,-5.8,94.2,4611.243
9,JR_080218_62,NG pblnk,,,,,777.93,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,486.109,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,448.594,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,73.379,,,,,,,
13,JR_080218_66,NG tris n=4,,,18.64,12.077,80.672,,0.15,bb,26.9,,,3.383
14,JR_080218_67,NG EDTA,,,,,504.257,,,,,,,
15,JR_080218_68,NG PBS,,,,,512.027,,,,,,,
16,JR_080218_69,NG ???,,,,,618.225,,,,,,,
17,JR_080218_70,sblnk,,,,,2152.803,,,,,,,
18,JR_080218_71,50,,,19.58,771.223,2587.791,,0.298,bb,55.7,,,3.341
19,JR_080218_72,100,,,19.63,957.477,2021.99,,0.474,bb,89.8,,,0
20,JR_080218_77,sblnk,,,,,2263.947,,,,,,,
21,JR_080218_78,20,Standard,19.26,19.6,225.846,2067.325,,0.109,bb,19.1,-1,99,2.987
22,JR_080218_79,20,Standard,19.26,19.6,155.656,2026.879,,0.077,bb,12.8,-33.7,66.3,0
23,JR_080218_80,50,Standard,48.15,19.65,505.809,2246.787,,0.225,bb,41.6,-13.7,86.3,138.808
24,JR_080218_81,100,Standard,96.3,19.7,987.808,1951.328,,0.506,bb,96.1,-0.2,99.8,0
,,,,,,,,,,,,,,
Compound 38:  4:2 FtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,18.69,,,522.486,,,,,,,
2,JR_080218_07,50,Standard,46.725,,,699.192,,,,,,,
3,JR_080218_08,100,Standard,93.45,,,1228.527,,,,,,,
4,JR_080218_09,250,Standard,233.625,,,1235.384,,,,,,,
5,JR_080218_10,500,Standard,467.25,,,932.061,,,,,,,
6,JR_080218_11,be,Recovery,467.25,,,1978.833,,,,,,,
7,JR_080218_12,2000,Standard,1869,,,1663.047,,,,,,,
8,JR_080218_13,10000,Standard,9345,,,1205.95,,,,,,,
9,JR_080218_62,NG pblnk,,,10.27,10.857,2065.548,,0.005,bb,,,,4.77
10,JR_080218_63,NG tris n=1,,,,,1123.434,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1439.203,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,313.087,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,90.643,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1436.763,,,,,,,
15,JR_080218_68,NG PBS,,,,,1242.603,,,,,,,
16,JR_080218_69,NG ???,,,,,1465.566,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,,,2249.761,,,,,,,
20,JR_080218_77,sblnk,,,,,1645.186,,,,,,,
21,JR_080218_78,20,Standard,18.69,,,,,,,,,,
22,JR_080218_79,20,Standard,18.69,,,,,,,,,,
23,JR_080218_80,50,Standard,46.725,10.15,15.416,2133.777,,0.007,bb,,,,1.711
24,JR_080218_81,100,Standard,93.45,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 39:  6:2 FtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.12,13.25,53.201,1671.566,,0.032,bb,34.2,78.8,178.8,42.646
2,JR_080218_07,50,Standard,47.8,,,2456.11,,,,,,,
3,JR_080218_08,100,Standard,95.6,13.25,458.178,2097.82,,0.218,bb,210.2,119.9,219.9,140.835
4,JR_080218_09,250,Standard,239,13.15,985.583,,,,bb,,,,110.798
5,JR_080218_10,500,Standard,478,13.28,2174.899,1902.537,,1.143,bb,1082.7,126.5,226.5,0
6,JR_080218_11,be,Recovery,478,13.3,1029.876,2068.904,,0.498,bb,473.8,-0.9,99.1,330.019
7,JR_080218_12,2000,Standard,1912,13.3,5998.846,1944.694,,3.085,bb,2914.6,52.4,152.4,268.691
8,JR_080218_13,10000,Standard,9560,13.25,19799.502,2277.103,,8.695,bb,8207.9,-14.1,85.9,4265.619
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,13.02,30.201,833.103,,0.036,bb,38.4,,,7.658
11,JR_080218_64,NG tris n=2,,,13.08,44.406,828.511,,0.054,bb,54.7,,,14.249
12,JR_080218_65,NG tris n=3,,,,,284.905,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,109.782,,,,,,,
14,JR_080218_67,NG EDTA,,,,,773.778,,,,,,,
15,JR_080218_68,NG PBS,,,13.13,256.03,,,,bb,,,,91.135
16,JR_080218_69,NG ???,,,,,1154.427,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,,,,,,,,,,
19,JR_080218_72,100,,,13.08,499.865,,,,bb,,,,512.806
20,JR_080218_77,sblnk,,,13.05,35.664,,,,bb,,,,25.261
21,JR_080218_78,20,Standard,19.12,13.05,92.109,,,,bb,,,,11.436
22,JR_080218_79,20,Standard,19.12,,,,,,,,,,
23,JR_080218_80,50,Standard,47.8,13.13,170.404,,,,bb,,,,43.722
24,JR_080218_81,100,Standard,95.6,13.02,841.913,,,,bb,,,,61.668
,,,,,,,,,,,,,,
Compound 40:  8-2 FtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.26,17.75,17.194,1640.936,,0.01,bbI,,-100,0,0
2,JR_080218_07,50,Standard,48.15,,,1679.798,,,,,,,
3,JR_080218_08,100,Standard,96.3,17.83,255.012,1616.192,,0.158,bb,179,85.9,185.9,625.308
4,JR_080218_09,250,Standard,240.75,17.75,788.547,1413.138,,0.558,bb,988.7,310.7,410.7,100.866
5,JR_080218_10,500,Standard,481.5,18.06,1743.056,1238.324,,1.408,bb,2707.5,462.3,562.3,69065.758
6,JR_080218_11,be,Recovery,481.5,,,1562.961,,,,,,,
7,JR_080218_12,2000,Standard,1926,17.86,5083.126,1155.182,,4.4,bb,8761.9,354.9,454.9,8376.499
8,JR_080218_13,10000,Standard,9630,17.83,14489.115,,,,bb,,,,1290.961
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,17.73,22.102,,,,bb,,,,6.341
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,1622.956,,,,,,,
18,JR_080218_71,50,,,17.62,149.298,2158.678,,0.069,bbI,,,,14.331
19,JR_080218_72,100,,,17.7,206.739,1498.04,,0.138,bb,139,,,4.228
20,JR_080218_77,sblnk,,,,,1558.904,,,,,,,
21,JR_080218_78,20,Standard,19.26,17.62,53.409,1876.039,,0.028,bbI,,-100,0,14.435
22,JR_080218_79,20,Standard,19.26,,,1723.484,,,,,,,
23,JR_080218_80,50,Standard,48.15,17.75,164.546,1665.123,,0.099,bb,59.7,24.1,124.1,79.497
24,JR_080218_81,100,Standard,96.3,17.83,263.032,1553.478,,0.169,bb,202.4,110.1,210.1,0
,,,,,,,,,,,,,,
Compound 41:  10:2 FtS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,19.26,,,1640.936,,,,,,,
2,JR_080218_07,50,Standard,48.15,,,1679.798,,,,,,,
3,JR_080218_08,100,Standard,96.3,,,1616.192,,,,,,,
4,JR_080218_09,250,Standard,240.75,,,1413.138,,,,,,,
